"Xi1","Xi2","Gap","LastIter","Time","Problem"
"0.0","0.0","0.03902410798904712","39","19.0452498","Product"
"0.0","0.25","0.0088812627830751","50","163.958548513","Product"
"0.0","0.5","0.0088812627830751","50","169.254499438","Product"
"0.0","0.75","0.0053214945025113255","50","658.149261595","Product"
"0.0","1.0","0.0053214945025113255","50","651.354493775","Product"
"0.025","0.0","0.0053214945025113255","50","657.800656833","Product"
"0.025","0.25","0.0053214945025113255","50","654.13135346","Product"
"0.025","0.5","0.0053214945025113255","50","656.964095257","Product"
"0.025","0.75","0.004314644100417182","50","2587.10495068","Product"
"0.025","1.0","0.004314644100417182","50","2572.434801146","Product"
"0.05","0.0","0.004314644100417182","50","2578.097629654","Product"
"0.05","0.25","0.004314644100417182","50","2559.370754769","Product"
"0.05","0.5","0.004314644100417182","50","2553.659310558","Product"
"0.05","0.75","0.004314644100417182","50","2560.265924967","Product"
"0.05","1.0","0.004314644100417182","50","2558.691001998","Product"
"0.075","0.0","0.004314644100417182","50","2545.747549708","Product"
"0.075","0.25","0.004314644100417182","50","2564.864508933","Product"
"0.075","0.5","0.004314644100417182","50","2544.147704736","Product"
"0.075","0.75","0.004314644100417182","50","2551.000725595","Product"
"0.075","1.0","0.004314644100417182","50","2548.83282566","Product"
"0.1","0.0","0.004314644100417182","50","2549.476018819","Product"
"0.1","0.25","0.004314644100417182","50","2555.72879655","Product"
"0.1","0.5","0.004314644100417182","50","2566.019392608","Product"
"0.1","0.75","0.004314644100417182","50","2568.053983013","Product"
"0.1","1.0","0.004314644100417182","50","2567.242276889","Product"
